date, pm25, pm10, o3, no2, so2, co
2026/1/1, 111, 78, 22, 32, 2, 
2026/1/2, 142, 91, 15, 40, 1, 
2026/1/3, 156, 110, 15, 40, 4, 
2026/1/4, 171, 94, 20, 37, , 
2026/1/5, 164, 99, 18, 38, 3, 
2026/1/6, 165, , , , , 
2025/10/1, 55, 25, 9, 9, 1, 
2025/10/2, 59, 34, 8, 7, 1, 
2025/10/3, 65, 35, 9, 10, , 
2025/10/4, 44, 56, 9, 12, 2, 
2025/10/5, 72, 48, 51, 16, 71, 
2025/10/6, 69, 44, 3, 11, 1, 
2025/10/7, 59, 57, 8, 14, 2, 
2025/10/8, 60, 92, 22, 22, 2, 
2025/10/9, 117, 111, 21, 25, , 
2025/10/10, 165, 129, 21, 25, 2, 
2025/10/11, 154, 127, 22, 25, 2, 
2025/10/12, 155, 104, 21, 29, , 
2025/10/13, 149, 100, 25, 29, , 
2025/10/14, 150, 102, 22, 30, 4, 
2025/10/15, 154, 87, 29, 27, 2, 
2025/10/16, 143, 61, 19, 22, 2, 
2025/10/17, 100, 83, 31, 23, 2, 
2025/10/18, 153, 65, 26, 20, 1, 
2025/10/19, 160, 126, 22, 24, 1, 
2025/10/20, 199, 125, 23, 15, 1, 
2025/10/21, 196, 70, 22, 16, 5, 
2025/10/22, 140, 67, 13, 17, 2, 
2025/10/23, 125, 57, 12, 19, 3, 
2025/10/24, 100, 38, 6, 15, 4, 
2025/10/25, 61, 37, 8, 13, 4, 
2025/10/26, 62, 31, 7, 13, 2, 
2025/10/27, 67, 48, 9, 14, 2, 
2025/10/28, 75, 61, 11, 16, 2, 
2025/10/29, 84, 50, 10, 16, 2, 
2025/10/30, 79, 46, 5, 18, 1, 
2025/10/31, 70, 47, 7, 15, 3, 
2025/11/1, 142, 47, 4, 15, 1, 
2025/11/2, 63, 39, 34, 15, 52, 
2025/11/3, 67, 50, 12, 16, 1, 
2025/11/4, 92, 55, 14, 16, , 
2025/11/5, 83, 78, 23, 18, , 
2025/11/6, 112, 100, 24, 26, 2, 
2025/11/7, 156, 83, 21, 27, 4, 
2025/11/8, 121, 80, 18, 25, 4, 
2025/11/9, 123, 87, 26, 29, 4, 
2025/11/10, 138, 95, 33, 33, 5, 
2025/11/11, 152, 94, 27, 27, 5, 
2025/11/12, 152, 97, 28, 29, 4, 
2025/11/13, 153, 101, 27, 34, 2, 
2025/11/14, 161, 107, 26, 42, 4, 
2025/11/15, 161, 96, 27, 29, 2, 
2025/11/16, 158, 100, 29, 25, 5, 
2025/11/17, 162, 105, 30, 30, 3, 
2025/11/18, 166, 114, 29, 31, 5, 
2025/11/19, 167, 111, 32, 39, 2, 
2025/11/20, 166, 117, 34, 38, 2, 
2025/11/21, 173, 126, 35, 43, 6, 
2025/11/22, 175, 129, 47, 39, 5, 
