date, pm25, pm10, o3, no2, so2, co
2026/1/1, 80, 78, 63, 20, 5, 4
2026/1/2, 116, 86, 54, 25, 6, 5
2026/1/3, 117, 103, 48, 26, 5, 7
2026/1/4, 156, 102, 76, 26, 7, 7
2026/1/5, 152, 113, 76, 34, 7, 8
2026/1/6, 154, , , , , 
2025/10/1, 29, 36, 6, , 1, 8
2025/10/2, 16, 111, 5, , 2, 9
2025/10/3, 28, 45, 7, , 1, 8
2025/10/4, 24, 69, 9, , 2, 7
2025/10/5, 56, 63, 13, , 2, 
2025/10/6, 46, 50, 13, , 1, 
2025/10/7, 33, 51, 17, , 1, 2
2025/10/8, 29, 70, 78, 27, 49, 3
2025/10/9, 92, 118, 41, 27, , 3
2025/10/10, 136, 140, 48, 23, 1, 2
2025/10/11, 146, 131, 51, 21, 2, 2
2025/10/12, 142, 112, 56, 20, 1, 7
2025/10/13, 122, 129, 59, 23, 1, 7
2025/10/14, 136, 123, 52, 25, 1, 7
2025/10/15, 141, 102, 66, 23, , 5
2025/10/16, 125, 80, 46, 23, , 4
2025/10/17, 85, 101, 65, 22, 1, 3
2025/10/18, 144, 121, 59, 23, 1, 3
2025/10/19, 161, 148, 58, 21, 1, 3
2025/10/20, 180, 272, 51, 21, 3, 3
2025/10/21, 254, 99, 46, 20, 2, 6
2025/10/22, 133, 77, 30, 20, 2, 5
2025/10/23, 106, 68, 30, 20, 1, 5
2025/10/24, 75, 48, 10, 21, 2, 6
2025/10/25, 26, 53, 14, 20, 2, 5
2025/10/26, 22, 46, 7, 22, 1, 7
2025/10/27, 18, 57, 22, 19, 2, 6
2025/10/28, 55, 72, 24, 20, 3, 6
2025/10/29, 73, 61, 16, 22, 1, 6
2025/10/30, 59, 59, 13, 19, 1, 2
2025/10/31, 52, 65, 11, 17, , 4
2025/11/1, 55, 54, 5, 15, , 4
2025/11/2, 48, 50, 13, 14, 1, 5
2025/11/3, 43, 57, 23, 13, , 3
2025/11/4, 54, 60, 25, 20, , 2
2025/11/5, 54, 92, 48, 16, , 3
2025/11/6, 91, 100, 80, 20, 99, 9
2025/11/7, 106, 102, 52, 21, 2, 5
2025/11/8, 108, 85, 55, 18, , 3
2025/11/9, 91, 112, 62, 32, 1, 8
2025/11/10, 131, 111, 76, 29, 1, 9
2025/11/11, 128, 122, 53, 29, 1, 9
2025/11/12, 142, 119, 64, 29, 1, 9
2025/11/13, 144, 127, 67, 29, 1, 9
2025/11/14, 153, 129, 76, 27, 1, 9
2025/11/15, 188, 121, 67, 23, 1, 7
2025/11/16, 183, 111, 79, 18, 2, 4
2025/11/17, 161, 130, 74, 26, 2, 8
2025/11/18, 172, 146, 53, 29, 2, 11
2025/11/19, 163, 133, 66, 37, 1, 13
2025/11/20, 158, 144, 73, 33, 3, 10
2025/11/21, 166, 171, 93, 37, 2, 14
2025/11/22, 171, 158, 73, 39, 1, 15
2025/11/23, 165, 154, 69, 29, 1, 11
2025/11/24, 166, 129, 73, 28, 1, 10
2025/11/25, 163, 139, 92, 30, 1, 12
2025/11/26, 175, 107, 41, 26, 1, 8
2025/11/27, 145, 102, 26, 24, 1, 8
2025/11/28, 152, 91, 38, 24, 1, 6
2025/11/29, 131, 104, 49, 35, 3, 9
2025/11/30, 135, 93, 45, 25, 3, 4
2025/12/1, 136, 108, 77, 30, 62, 9
2025/12/2, 131, 111, 63, 26, 2, 9
2025/12/3, 151, 114, 46, 29, 1, 8
2025/12/4, 156, 101, 59, 21, 1, 6
2025/12/5, 152, 89, 63, 15, 2, 4
2025/12/6, 133, 145, 86, 16, 1, 4
2025/12/7, 127, 93, 71, 23, 1, 5
2025/12/8, 126, 85, 55, 23, 2, 6
2025/12/9, 102, 78, 44, 25, 2, 7
2025/12/10, 86, 89, 54, 23, 3, 10
2025/12/11, 109, 88, 48, 26, 1, 10
2025/12/12, 125, 119, 69, 8, 3, 9
2025/12/13, 128, 125, 102, 9, 3, 8
2025/12/14, 132, 97, 61, 15, 1, 6
2025/12/15, 117, 105, 89, 22, 4, 5
2025/12/16, 115, 118, 69, 33, 4, 8
2025/12/17, 134, 123, 73, 32, 4, 7
2025/12/18, 144, 114, 64, 31, 6, 9
2025/12/19, 131, 92, 41, 28, 5, 10
2025/12/20, 97, 89, 52, 27, 5, 11
2025/12/21, 87, 92, 48, 31, 6, 11
2025/12/22, 118, 88, 64, 28, 6, 10
2025/12/23, 116, 67, 65, 20, 4, 4
2025/12/24, 77, 93, 75, 26, 4, 8
2025/12/25, 110, 103, 104, 25, 5, 8
2025/12/26, 137, 103, 85, 10, 5, 9
2025/12/27, 132, 101, 102, 21, 6, 8
2025/12/28, 144, , , , , 
2025/7/1, 37, 35, 31, 8, 46, 5
2025/7/2, 37, 40, 4, 8, 1, 3
2025/7/3, 31, 42, 4, 12, 2, 2
2025/7/4, 30, 37, 5, 12, 1, 2
2025/7/5, 38, 41, 6, 9, 1, 
2025/7/6, 36, 44, 5, 14, 2, 5
2025/7/7, 41, 57, 4, 14, 1, 3
2025/7/8, 36, 51, 4, 13, 1, 6
2025/7/9, 43, 57, 4, 14, 1, 5
2025/7/10, 46, 53, 4, 11, 2, 6
2025/7/11, 41, 46, 5, 11, 2, 6
2025/7/12, 47, 40, 5, 10, 2, 4
2025/7/13, 34, 21, 5, 12, 2, 4
2025/7/14, 29, 40, 3, 10, 1, 5
2025/7/15, 43, 46, 3, 10, 1, 4
2025/7/16, 40, 50, 5, 10, 2, 4
2025/7/17, 49, 53, 5, 11, 2, 1
2025/7/18, 50, 50, 4, 13, 2, 2
2025/7/19, 43, 35, 4, 13, 1, 2
2025/7/20, 48, 32, , 20, 1, 4
2025/7/21, 64, 21, 2, 11, 2, 8
2025/7/22, 54, 23, 2, 13, 1, 5
2025/7/23, 40, 42, 4, 13, 1, 3
2025/7/24, 55, 26, 5, 11, 2, 
2025/7/25, 31, 34, 7, 9, 2, 
2025/7/26, 34, 45, 7, 9, 1, 3
2025/7/27, 40, 27, 6, 12, 2, 2
2025/7/28, 30, 28, 7, 11, 1, 1
2025/7/29, 25, 65, 3, 15, 1, 3
2025/7/30, 18, 68, 5, 14, 2, 2
