date,final_aqi
25-02-2024,141
26-02-2024,191
27-02-2024,143
28-02-2024,139
29-02-2024,226
01-03-2024,139
02-03-2024,70
03-03-2024,48
04-03-2024,55
05-03-2024,99
06-03-2024,109
07-03-2024,92
08-03-2024,109
09-03-2024,119
10-03-2024,109
11-03-2024,114
12-03-2024,96
13-03-2024,76
14-03-2024,103
15-03-2024,129
16-03-2024,139
17-03-2024,113
18-03-2024,98
19-03-2024,136
20-03-2024,117
21-03-2024,130
22-03-2024,168
23-03-2024,108
24-03-2024,75
25-03-2024,73
26-03-2024,68
27-03-2024,88
28-03-2024,85
29-03-2024,101
30-03-2024,110
31-03-2024,99
01-04-2024,122
02-04-2024,167
03-04-2024,118
04-04-2024,96
05-04-2024,106
06-04-2024,115
07-04-2024,91
08-04-2024,95
09-04-2024,106
10-04-2024,95
11-04-2024,92
12-04-2024,86
13-04-2024,73
14-04-2024,76
15-04-2024,100
16-04-2024,138
17-04-2024,115
18-04-2024,117
19-04-2024,99
20-04-2024,121
21-04-2024,81
22-04-2024,74
23-04-2024,92
24-04-2024,116
25-04-2024,110
26-04-2024,99
27-04-2024,107
28-04-2024,140
29-04-2024,136
30-04-2024,131
01-05-2024,116
02-05-2024,149
03-05-2024,122
04-05-2024,100
05-05-2024,85
06-05-2024,71
07-05-2024,82
08-05-2024,88
09-05-2024,74
10-05-2024,74
11-05-2024,81
12-05-2024,81
13-05-2024,101
14-05-2024,161
15-05-2024,123
16-05-2024,115
17-05-2024,92
18-05-2024,106
19-05-2024,92
20-05-2024,73
21-05-2024,93
22-05-2024,92
23-05-2024,82
24-05-2024,80
25-05-2024,79
26-05-2024,92
27-05-2024,128
28-05-2024,92
29-05-2024,83
30-05-2024,83
31-05-2024,68
01-06-2024,58
02-06-2024,71
03-06-2024,73
04-06-2024,69
05-06-2024,63
06-06-2024,55
07-06-2024,59
08-06-2024,57
09-06-2024,62
10-06-2024,51
11-06-2024,55
12-06-2024,52
13-06-2024,36
14-06-2024,38
15-06-2024,37
16-06-2024,46
17-06-2024,45
18-06-2024,47
19-06-2024,42
20-06-2024,48
21-06-2024,52
22-06-2024,51
23-06-2024,49
24-06-2024,38
25-06-2024,38
26-06-2024,43
27-06-2024,33
28-06-2024,49
29-06-2024,41
30-06-2024,48
01-07-2024,50
02-07-2024,54
03-07-2024,51
04-07-2024,48
05-07-2024,49
06-07-2024,51
07-07-2024,60
08-07-2024,40
09-07-2024,28
10-07-2024,31
11-07-2024,34
12-07-2024,41
13-07-2024,33
14-07-2024,49
15-07-2024,51
16-07-2024,47
17-07-2024,31
18-07-2024,27
19-07-2024,28
20-07-2024,26
21-07-2024,26
22-07-2024,29
23-07-2024,38
24-07-2024,43
25-07-2024,34
26-07-2024,38
27-07-2024,36
28-07-2024,53
29-07-2024,39
30-07-2024,43
31-07-2024,33
01-08-2024,34
02-08-2024,25
03-08-2024,28
04-08-2024,28
05-08-2024,30
06-08-2024,28
07-08-2024,34
08-08-2024,38
09-08-2024,32
10-08-2024,28
11-08-2024,29
12-08-2024,35
13-08-2024,38
14-08-2024,44
15-08-2024,37
16-08-2024,39
17-08-2024,44
18-08-2024,48
19-08-2024,63
20-08-2024,44
21-08-2024,54
22-08-2024,50
23-08-2024,32
24-08-2024,31
25-08-2024,29
26-08-2024,35
27-08-2024,31
28-08-2024,34
29-08-2024,39
30-08-2024,37
